"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",6769,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2003",6997,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2004",7612,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2005",8224,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2006",8222,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2007",8010,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2008",8045,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2009",7068,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2010",6609,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2011",6639,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2012",6717,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2013",7015,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2014",7018,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2015",7225,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2016",7404,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2017",6888,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2018",6684,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2019",6730,
"BGR","ROADACCID","ACCIDENTCASUAL","NBR","A","2020",5710,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1970",11088,"E"
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1971",10432,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1972",10936,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1973",10442,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1974",10262,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1975",10509,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1976",10775,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1977",12924,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1978",13318,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1979",14014,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1980",15053,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1981",13716,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1982",13441,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1983",12238,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1984",11896,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1985",12072,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1986",13501,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1987",13985,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1988",14048,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1989",13888,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1990",14471,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1991",11559,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1992",12758,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1993",11529,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1994",12846,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1995",12668,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1996",11740,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1997",11652,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1998",12846,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","1999",12958,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2000",14430,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2001",15656,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",17071,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2003",18592,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2004",17140,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2005",15679,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2006",16706,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2007",18029,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2008",16283,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2009",15730,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2010",13272,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2011",13228,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2012",11773,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2013",11225,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2014",10607,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2015",11038,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2016",10779,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2017",10939,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2018",10450,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2019",9695,
"HRV","ROADACCID","ACCIDENTCASUAL","NBR","A","2020",7710,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1970",235109,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1971",249828,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1972",274476,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1973",270618,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1974",260187,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1975",258201,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1976",261275,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1977",257698,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1978",247785,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1979",253208,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1980",248469,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1981",239734,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1982",230701,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1983",216139,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1984",202637,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1985",191132,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1986",184626,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1987",170994,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1988",175887,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1989",170590,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1990",162573,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1991",148890,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1992",143362,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1993",137500,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1994",132726,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1995",132949,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1996",125406,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1997",125202,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1998",124387,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","1999",124524,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2000",121223,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2001",116745,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",105470,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2003",90220,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2004",85390,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2005",84525,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2006",80309,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2007",81272,
"FRA","ROADACCID","ACCIDENTCASUAL","NBR","A","2008",74487,
